Action Performed,Connection Classification,Priority,Date-Time,Source IP,Source Port,Destination IP,Destination Port,Protocol,TimeToLive,TypeOfService,DataGram Length,All Flags,Seq, Ack, Win, TCP length, TCP Options, NOP NOP TS, MSS, NOP WS, SackOK TS
 TCP Timestamp is outside of PAWS window  ,0,3,1573234989,10.1.60.203,57764,7.204.241.161,25,TCP,63,0x0 ,40,*****R** ,0x787AFC70 ,0x0 ,0x0 ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235154,7.204.241.161,25,10.1.60.203,50176,TCP,64,0x0 ,40,*****R** ,0xE06DEE6F ,0x0 ,0x0 ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235154,7.204.241.161,25,10.1.60.203,50176,TCP,64,0x0 ,40,*****R** ,0xE06DEE6F ,0x0 ,0x0 ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235222,154.241.88.201,80,3.75.190.181,60708,TCP,63,0x0 ,52,***A**** ,0xE20FC272 ,0x567079D3 ,0x5B ,32.0,3.0,66621799 74830877 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235222,154.241.88.201,80,3.75.190.181,60708,TCP,63,0x0 ,455,***AP*** ,0xE20FC272 ,0x567079D3 ,0x5B ,32.0,3.0,66621799 74830877 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,60,******S* ,0x8580A703 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3,47703591 0 
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,60,***A**S* ,0x6B560026 ,0x8580A704 ,0x16A0 ,40.0,5.0,0,1460,6,67042354 47703591 
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x8580A704 ,0x6B560027 ,0x2086 ,32.0,3.0,47703592 67042354 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,188,***AP*** ,0x8580A704 ,0x6B560027 ,0x2086 ,32.0,3.0,47703596 67042354 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,52,***A**** ,0x6B560027 ,0x8580A78C ,0x6C ,32.0,3.0,67042359 47703596 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,149,***AP*** ,0x6B5605CF ,0x8580A78C ,0x6C ,32.0,3.0,67042368 47703596 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x8580A78C ,0x6B560630 ,0x1FC5 ,32.0,3.0,47703608 67042368 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,250,***AP*** ,0x8580A78C ,0x6B560630 ,0x2086 ,32.0,3.0,47703618 67042368 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,111,***AP*** ,0x6B560630 ,0x8580A852 ,0x7C ,32.0,3.0,67042394 47703618 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,238,***AP*** ,0x8580A852 ,0x6B56066B ,0x2086 ,32.0,3.0,47703633 67042394 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,1373,***AP*** ,0x6B56066B ,0x8580A90C ,0x8D ,32.0,3.0,67042400 47703633 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,89,***AP*** ,0x6B560B94 ,0x8580A90C ,0x8D ,32.0,3.0,67042400 47703633 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,52,***A***F ,0x6B560BB9 ,0x8580A90C ,0x8D ,32.0,3.0,67042400 47703633 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x8580A90C ,0x6B560BB9 ,0x1FDC ,32.0,3.0,47703640 67042400 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x8580A90C ,0x6B560BBA ,0x1FF2 ,32.0,3.0,47703640 67042400 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,89,***AP*** ,0x8580A90C ,0x6B560BBA ,0x2086 ,32.0,3.0,47703640 67042400 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,TCP,63,0x0 ,52,***A***F ,0x8580A931 ,0x6B560BBA ,0x2086 ,32.0,3.0,47703641 67042400 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,TCP,64,0x0 ,52,***A**** ,0x6B560BBA ,0x8580A932 ,0x8D ,32.0,3.0,67042404 47703640 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573235936,7.204.241.161,993,31.154.241.2,1296,TCP,63,0x0 ,77,***AP*** ,0x8AB87CDD ,0x9AE31DB ,0xFFFF ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236004,7.204.241.161,51451,10.1.10.10,25,TCP,64,0x0 ,40,*****R** ,0xB159B00F ,0x0 ,0x0 ,20.0,0.0,0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573236007,10.1.10.10,25,7.204.241.161,51451,TCP,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,11063197 73853 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573236011,10.1.10.10,25,7.204.241.161,51451,TCP,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,11063238 73853 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573236015,10.1.10.10,25,7.204.241.161,51451,TCP,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,11063278 73853 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573236019,10.1.10.10,25,7.204.241.161,51451,TCP,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,11063318 73853 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573236027,10.1.10.10,25,7.204.241.161,51451,TCP,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,11063399 73853 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573236043,10.1.10.10,25,7.204.241.161,51451,TCP,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,11063559 73853 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573236199,7.204.241.161,993,31.154.241.2,1340,TCP,63,0x0 ,77,***AP*** ,0x604F07C0 ,0xC1151E08 ,0xFFFF ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,60,******S* ,0x752E046 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3,48302515 0 
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,60,***A**S* ,0x9BDAA008 ,0x752E047 ,0x16A0 ,40.0,5.0,0,1460,6,67642371 48302515 
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x752E047 ,0x9BDAA009 ,0x2086 ,32.0,3.0,48302517 67642371 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,188,***AP*** ,0x752E047 ,0x9BDAA009 ,0x2086 ,32.0,3.0,48302520 67642371 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,52,***A**** ,0x9BDAA009 ,0x752E0CF ,0x6C ,32.0,3.0,67642376 48302520 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,149,***AP*** ,0x9BDAA5B1 ,0x752E0CF ,0x6C ,32.0,3.0,67642380 48302520 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x752E0CF ,0x9BDAA612 ,0x2052 ,32.0,3.0,48302534 67642380 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,250,***AP*** ,0x752E0CF ,0x9BDAA612 ,0x2086 ,32.0,3.0,48302542 67642380 ,0,0,0
