ActionPerformed,ConnectionClassification,Priority,Date-Time,SourceIP,SourcePort,DestinationIP,DestinationPort,TimeToLive,TypeOfService,DataGramLength,AllFlags,Seq,Ack,Win,TCP_length,TCP_Options,NOP_NOP_TS,MSS,NOP_WS
 TCP Timestamp is outside of PAWS window  ,0,3,1573234989,10.1.60.203,57764,7.204.241.161,25,63,0x0 ,40,*****R** ,0x787AFC70 ,0x0 ,0x0 ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235154,7.204.241.161,25,10.1.60.203,50176,64,0x0 ,40,*****R** ,0xE06DEE6F ,0x0 ,0x0 ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235154,7.204.241.161,25,10.1.60.203,50176,64,0x0 ,40,*****R** ,0xE06DEE6F ,0x0 ,0x0 ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235222,154.241.88.201,80,3.75.190.181,60708,63,0x0 ,52,***A**** ,0xE20FC272 ,0x567079D3 ,0x5B ,32.0,3.0,6662179974830877,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235222,154.241.88.201,80,3.75.190.181,60708,63,0x0 ,455,***AP*** ,0xE20FC272 ,0x567079D3 ,0x5B ,32.0,3.0,6662179974830877,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,60,******S* ,0x8580A703 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,60,***A**S* ,0x6B560026 ,0x8580A704 ,0x16A0 ,40.0,5.0,0,1460,6
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8580A704 ,0x6B560027 ,0x2086 ,32.0,3.0,4770359267042354,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,188,***AP*** ,0x8580A704 ,0x6B560027 ,0x2086 ,32.0,3.0,4770359667042354,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,52,***A**** ,0x6B560027 ,0x8580A78C ,0x6C ,32.0,3.0,6704235947703596,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,149,***AP*** ,0x6B5605CF ,0x8580A78C ,0x6C ,32.0,3.0,6704236847703596,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8580A78C ,0x6B560630 ,0x1FC5 ,32.0,3.0,4770360867042368,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,250,***AP*** ,0x8580A78C ,0x6B560630 ,0x2086 ,32.0,3.0,4770361867042368,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,111,***AP*** ,0x6B560630 ,0x8580A852 ,0x7C ,32.0,3.0,6704239447703618,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,238,***AP*** ,0x8580A852 ,0x6B56066B ,0x2086 ,32.0,3.0,4770363367042394,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,1373,***AP*** ,0x6B56066B ,0x8580A90C ,0x8D ,32.0,3.0,6704240047703633,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,89,***AP*** ,0x6B560B94 ,0x8580A90C ,0x8D ,32.0,3.0,6704240047703633,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,52,***A***F ,0x6B560BB9 ,0x8580A90C ,0x8D ,32.0,3.0,6704240047703633,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8580A90C ,0x6B560BB9 ,0x1FDC ,32.0,3.0,4770364067042400,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8580A90C ,0x6B560BBA ,0x1FF2 ,32.0,3.0,4770364067042400,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,89,***AP*** ,0x8580A90C ,0x6B560BBA ,0x2086 ,32.0,3.0,4770364067042400,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,10.1.60.203,58113,154.241.88.201,443,63,0x0 ,52,***A***F ,0x8580A931 ,0x6B560BBA ,0x2086 ,32.0,3.0,4770364167042400,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573235641,154.241.88.201,443,10.1.60.203,58113,64,0x0 ,52,***A**** ,0x6B560BBA ,0x8580A932 ,0x8D ,32.0,3.0,6704240447703640,0,0
 Data sent on stream not accepting data  ,0,3,1573235936,7.204.241.161,993,31.154.241.2,1296,63,0x0 ,77,***AP*** ,0x8AB87CDD ,0x9AE31DB ,0xFFFF ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236004,7.204.241.161,51451,10.1.10.10,25,64,0x0 ,40,*****R** ,0xB159B00F ,0x0 ,0x0 ,20.0,0.0,0,0,0
